,Unnamed: 0,ID,QuestType,verb,WhichQuestion,WhichAnswer,Group,goal,RT,N,ImageName,order,study,Value,logical,pragmatic,global,local
27,28, 19663,14,say,NoMod,MS,L,none,23903.0,2,king2.png,,qn,Disagree,1.0,0.0,1.0,0.0
28,29, 19663,15,say,NoMod,MA,L,none,8616.0,2,face2.png,,qn,Agree,1.0,0.0,1.0,0.0
29,30, 19663,15,say,NoMod,MA,L,none,8616.0,2,face1.png,,qn,Agree,1.0,0.0,1.0,0.0
30,31, 19663,16,say,NoMod,MF,L,none,13959.0,2,number1.png,,qn,Disagree,1.0,0.0,1.0,0.0
31,32, 19663,16,say,NoMod,MF,L,none,13959.0,2,number2.png,,qn,Agree,1.0,0.0,1.0,0.0
32,33,16516,1,know,Mod,MO,E,none,3562.5,2,diamond2.png,,qn,Agree,0.0,1.0,1.0,0.0
33,34,16516,1,know,Mod,MO,E,none,3562.5,2,diamond1.png,,qn,Agree,0.0,1.0,1.0,0.0
34,35,16516,2,know,Mod,MS,E,none,5229.0,2,hearts1.png,,qn,Agree,0.0,1.0,1.0,0.0
35,36,16516,2,know,Mod,MS,E,none,5229.0,2,hearts2.png,,qn,Agree,0.0,1.0,1.0,0.0
36,37,16516,3,know,Mod,MA,E,none,6916.5,2,jack2.png,,qn,Agree,0.0,1.0,1.0,0.0
37,38,16516,3,know,Mod,MA,E,none,6916.5,2,jack1.png,,qn,Agree,0.0,1.0,1.0,0.0
38,39,16516,4,know,Mod,MF,E,none,5182.0,2,queen1.png,,qn,Disagree,0.0,1.0,1.0,0.0
39,40,16516,4,know,Mod,MF,E,none,5182.0,2,queen2.png,,qn,Disagree,0.0,1.0,1.0,0.0
40,41,16516,5,say,Mod,MO,E,none,3095.0,2,king1.png,,qn,Agree,0.0,1.0,1.0,0.0
41,42,16516,5,say,Mod,MO,E,none,3095.0,2,king2.png,,qn,Agree,0.0,1.0,1.0,0.0
42,43,16516,6,say,Mod,MS,E,none,4482.0,2,face2.png,,qn,Disagree,0.0,1.0,1.0,0.0
43,44,16516,6,say,Mod,MS,E,none,4482.0,2,face1.png,,qn,Agree,0.0,1.0,1.0,0.0
44,45,16516,7,say,Mod,MA,E,none,5156.5,2,number1.png,,qn,Agree,0.0,1.0,1.0,0.0
45,46,16516,7,say,Mod,MA,E,none,5156.5,2,number2.png,,qn,Agree,0.0,1.0,1.0,0.0
46,47,16516,8,say,Mod,MF,E,none,5663.5,2,ace2.png,,qn,Disagree,0.0,1.0,1.0,0.0
47,48,16516,8,say,Mod,MF,E,none,5663.5,2,ace1.png,,qn,Disagree,0.0,1.0,1.0,0.0
48,49,16516,9,know,NoMod,MO,E,none,7829.5,2,ten2.png,,qn,Agree,0.0,1.0,1.0,0.0
49,50,16516,9,know,NoMod,MO,E,none,7829.5,2,ten1.png,,qn,Agree,0.0,1.0,1.0,0.0
50,51,16516,10,know,NoMod,MS,E,none,4800.5,2,eight2.png,,qn,Agree,0.0,1.0,1.0,0.0
51,52,16516,10,know,NoMod,MS,E,none,4800.5,2,eight1.png,,qn,Agree,0.0,1.0,1.0,0.0
52,53,16516,11,know,NoMod,MA,E,none,8014.5,2,six2.png,,qn,Agree,0.0,1.0,1.0,0.0
53,54,16516,11,know,NoMod,MA,E,none,8014.5,2,six1.png,,qn,Agree,0.0,1.0,1.0,0.0
54,55,16516,12,know,NoMod,MF,E,none,3876.5,2,four2.png,,qn,Disagree,0.0,1.0,1.0,0.0
55,56,16516,12,know,NoMod,MF,E,none,3876.5,2,four1.png,,qn,Disagree,0.0,1.0,1.0,0.0
56,57,16516,13,say,NoMod,MO,E,none,7127.5,2,red1.png,,qn,Agree,0.0,1.0,1.0,0.0
57,58,16516,13,say,NoMod,MO,E,none,7127.5,2,red2.png,,qn,Agree,0.0,1.0,1.0,0.0
58,59,16516,14,say,NoMod,MS,E,none,5048.5,2,black1.png,,qn,Agree,0.0,1.0,1.0,0.0
59,60,16516,14,say,NoMod,MS,E,none,5048.5,2,black2.png,,qn,Agree,0.0,1.0,1.0,0.0
60,61,16516,15,say,NoMod,MA,E,none,9163.5,2,spade2.png,,qn,Agree,0.0,1.0,1.0,0.0
61,62,16516,15,say,NoMod,MA,E,none,9163.5,2,spade1.png,,qn,Agree,0.0,1.0,1.0,0.0
