"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","QuestType","WhichQuestion","WhichAnswer","verb","Matrix","ImageName","Group","Comments","study","order","goal"
"1",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1589738737769,"A11Q8U6QTT8KGF","NULL",NA,"","","","","","","","q_ms","2","MS"
"2",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",0,0,"intro","NULL","TextInput","ID","Final","A11Q8U6QTT8KGF",1589738742330,"A11Q8U6QTT8KGF","NULL",NA,"","","","","","","","q_ms","2","MS"
"3",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",0,0,"intro","NULL","TextInput","ID","First","",1589738740236,"A11Q8U6QTT8KGF","Control",NA,"","","","","","","","q_ms","2","MS"
"4",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1589738742330,"A11Q8U6QTT8KGF","NULL",NA,"","","","","","","","q_ms","2","MS"
"5",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",1,0,"familiarize1","NULL","PennController","1","_Trial_","Start",1589738742337,"NULL","",NA,"","","","","","","","q_ms","2","MS"
"6",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",1,0,"familiarize1","NULL","PennController","1","_Trial_","End",1589738751714,"NULL","",NA,"","","","","","","","q_ms","2","MS"
"7",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",2,0,"familiarize2","NULL","PennController","2","_Trial_","Start",1589738751717,"NULL","",NA,"","","","","","","","q_ms","2","MS"
"8",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",2,0,"familiarize2","NULL","PennController","2","_Trial_","End",1589738756950,"NULL","",NA,"","","","","","","","q_ms","2","MS"
"9",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",3,0,"familiarize3","NULL","PennController","3","_Trial_","Start",1589738756952,"NULL","",NA,"","","","","","","","q_ms","2","MS"
"10",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",3,0,"familiarize3","NULL","PennController","3","_Trial_","End",1589738761305,"NULL","",NA,"","","","","","","","q_ms","2","MS"
"11",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",4,0,"familiarize4","NULL","PennController","4","_Trial_","Start",1589738761307,"NULL","",NA,"","","","","","","","q_ms","2","MS"
"12",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",4,0,"familiarize4","NULL","PennController","4","_Trial_","End",1589738768764,"NULL","",NA,"","","","","","","","q_ms","2","MS"
"13",1589739115,"549b2a107e6adb73529796b37e7eadd2","PennController",5,0,"instructions1","NULL","PennController","5","_Trial_","Start",1589738768767,"NULL","",NA,"","","","","","","","q_ms","2","MS"
