"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","SentNumber","Quantifier","Matrix","WhichCategory","Subject","Predicate","SentType","Verb","Embedded","Token","MatchingCategory","MismatchingCategory","Group","Comments","study","order","goal"
"1",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1587037868353,"NULL","","","","","","","","","","","","","","","","bn","2","none"
"2",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1587037869319,"NULL","","","","","","","","","","","","","","","","bn","2","none"
"3",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",1,0,"consent","NULL","PennController","1","_Trial_","Start",1587037869323,"dfsadf","NULL","","","","","","","","","","","","","","","bn","2","none"
"4",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",1,0,"consent","NULL","TextInput","ID","First","",1587037871002,"dfsadf","d","","","","","","","","","","","","","","","bn","2","none"
"5",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",1,0,"consent","NULL","TextInput","ID","Final","dfsadf",1587037871961,"dfsadf","NULL","","","","","","","","","","","","","","","bn","2","none"
"6",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",1,0,"consent","NULL","PennController","1","_Trial_","End",1587037871961,"dfsadf","NULL","","","","","","","","","","","","","","","bn","2","none"
"7",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",2,0,"demo","NULL","PennController","2","_Trial_","Start",1587037871963,"kldjfglkj","lkj;lj","NULL","","","","","","","","","","","","","","bn","2","none"
"8",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",2,0,"demo","NULL","TextInput","NativeLang","First","",1587037873498,"kldjfglkj","lkj;lj","k","","","","","","","","","","","","","","bn","2","none"
"9",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",2,0,"demo","NULL","TextInput","NativeLang","Final","kldjfglkj",1587037875074,"kldjfglkj","lkj;lj","NULL","","","","","","","","","","","","","","bn","2","none"
"10",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",2,0,"demo","NULL","PennController","2","_Trial_","End",1587037875074,"kldjfglkj","lkj;lj","NULL","","","","","","","","","","","","","","bn","2","none"
"11",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",3,0,"instructions","NULL","PennController","3","_Trial_","Start",1587037875076,"NULL","","","","","","","","","","","","","","","","bn","2","none"
"12",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",3,0,"instructions","NULL","PennController","3","_Trial_","End",1587037881577,"NULL","","","","","","","","","","","","","","","","bn","2","none"
"13",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",4,0,"Train_simple","NULL","PennController","4","_Trial_","Start",1587037881580,"dfsadf","train_T","The earth is a planet in the Milky Way.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","","","","","","","","bn","2","none"
"14",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",4,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Agree",1587037900498,"dfsadf","train_T","The earth is a planet in the Milky Way.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","","","","","","","","bn","2","none"
"15",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",4,0,"Train_simple","NULL","PennController","4","_Trial_","End",1587037900501,"dfsadf","train_T","The earth is a planet in the Milky Way.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","","","","","","","","bn","2","none"
"16",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",5,0,"Train_simple","NULL","PennController","5","_Trial_","Start",1587037900503,"dfsadf","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","","","","","","","","bn","2","none"
"17",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",5,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Disagree",1587037908801,"dfsadf","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","","","","","","","","bn","2","none"
"18",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",5,0,"Train_simple","NULL","PennController","5","_Trial_","End",1587037908803,"dfsadf","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","","","","","","","","bn","2","none"
"19",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",6,0,"Train_simple","NULL","PennController","6","_Trial_","Start",1587037908805,"dfsadf","train_think_T","Athletes think that soccer is a sport.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","","","","","","","","bn","2","none"
"20",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",6,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Disagree",1587038034114,"dfsadf","train_think_T","Athletes think that soccer is a sport.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","","","","","","","","bn","2","none"
"21",1587038051,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",6,0,"Train_simple","NULL","PennController","6","_Trial_","End",1587038034117,"dfsadf","train_think_T","Athletes think that soccer is a sport.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","","","","","","","","bn","2","none"
