"","ID","SentType","Token","SentNumber","Group","RT","N","SubStat","Negation","CompTruth","Matrix","order","goal","study","Value","logRT"
"44","16516","T2","tunas",2,"A",602,1,"expert",0,0,"Zoologists know that",1,"none","cb","Disagree",6.40025744530882
"45","16516","T3","cows",3,"A",1626,1,"expert",1,1,"Zoologists don't know that",1,"none","cb","Disagree",7.39387829010776
"46","16516","T3","cows",3,"A",1626,1,"expert",1,1,"Zoologists don't know that",1,"none","cb","Disagree",7.39387829010776
"47","16516","T3","trouts",3,"A",3144,1,"expert",1,1,"Zoologists don't know that",1,"none","cb","Disagree",8.0532511535491
"48","16516","T3","trouts",3,"A",3144,1,"expert",1,1,"Zoologists don't know that",1,"none","cb","Disagree",8.0532511535491
"49","16516","T4","bears",1,"A",2610,1,"expert",0,1,"Zoologists know that",1,"none","cb","Agree",7.86710550031674
"50","16516","T4","bears",1,"A",2610,1,"expert",0,1,"Zoologists know that",1,"none","cb","Agree",7.86710550031674
"51","16516","T4","salmon",1,"A",729,1,"expert",0,1,"Zoologists know that",1,"none","cb","Agree",6.59167373200866
"52","16516","T4","salmon",1,"A",729,1,"expert",0,1,"Zoologists know that",1,"none","cb","Agree",6.59167373200866
"53","16516","T5","bees",6,"A",3884,1,"novice",1,0,"Babies don't know that",1,"none","cb","Agree",8.26462082941122
"54","16516","T5","bees",6,"A",3884,1,"novice",1,0,"Babies don't know that",1,"none","cb","Agree",8.26462082941122
"55","16516","T5","pythons",6,"A",2814,1,"novice",1,0,"Babies don't know that",1,"none","cb","Agree",7.94236223767433
"56","16516","T5","pythons",6,"A",2814,1,"novice",1,0,"Babies don't know that",1,"none","cb","Agree",7.94236223767433
"57","16516","T6","beetles",5,"A",2088,1,"novice",1,1,"Babies don't know that",1,"none","cb","Agree",7.64396194900253
"58","16516","T6","beetles",5,"A",2088,1,"novice",1,1,"Babies don't know that",1,"none","cb","Disagree",7.64396194900253
"59","16516","T6","tortoises",5,"A",1459,1,"novice",1,1,"Babies don't know that",1,"none","cb","Agree",7.28550654852279
"60","16516","T6","tortoises",5,"A",1459,1,"novice",1,1,"Babies don't know that",1,"none","cb","Disagree",7.28550654852279
"61","16516","T7","parrots",7,"A",1610,1,"expert",1,0,"Zoologists don't say that",1,"none","cb","Agree",7.38398945797851
"62","16516","T7","parrots",7,"A",1610,1,"expert",1,0,"Zoologists don't say that",1,"none","cb","Agree",7.38398945797851
"63","16516","T7","watermellon",7,"A",1636,1,"expert",1,0,"Zoologists don't say that",1,"none","cb","Agree",7.40000951716269
"64","16516","T7","watermellon",7,"A",1636,1,"expert",1,0,"Zoologists don't say that",1,"none","cb","Agree",7.40000951716269
"65","16516","T8","kiwis",8,"A",1088,1,"novice",0,0,"Babies say that",1,"none","cb","Disagree",6.99209642741589
"66","16516","T8","kiwis",8,"A",1088,1,"novice",0,0,"Babies say that",1,"none","cb","Disagree",6.99209642741589
"67","16516","T8","pigeons",8,"A",1044,1,"novice",0,0,"Babies say that",1,"none","cb","Disagree",6.95081476844258
"68","16516","T8","pigeons",8,"A",1044,1,"novice",0,0,"Babies say that",1,"none","cb","Disagree",6.95081476844258
"69","16516","T9","oranges",9,"A",1393,1,"novice",0,1,"Babies say that",1,"none","cb","Agree",7.23921497377981
"70","16516","T9","oranges",9,"A",1393,1,"novice",0,1,"Babies say that",1,"none","cb","Agree",7.23921497377981
"71","16516","T9","vultures",9,"A",3676,1,"novice",0,1,"Babies say that",1,"none","cb","Agree",8.20958048347558
"72","16516","T9","vultures",9,"A",3676,1,"novice",0,1,"Babies say that",1,"none","cb","Agree",8.20958048347558
"73","165585","T1","beetles",4,"B",466,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Disagree",6.14418563412565
"74","165585","T1","beetles",4,"B",466,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Agree",6.14418563412565
"75","165585","T1","tortoises",4,"B",928,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Disagree",6.8330317327862
"76","165585","T1","tortoises",4,"B",928,1,"expert",1,0,"Zoologists don't know that",2,"none","cb","Agree",6.8330317327862
"77","165585","T2","cows",2,"B",631,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",6.44730586254121
"78","165585","T2","cows",2,"B",631,1,"expert",0,0,"Zoologists know that",2,"none","cb","Agree",6.44730586254121
"79","165585","T2","trouts",2,"B",448,1,"expert",0,0,"Zoologists know that",2,"none","cb","Disagree",6.10479323241498
"80","165585","T2","trouts",2,"B",448,1,"expert",0,0,"Zoologists know that",2,"none","cb","Agree",6.10479323241498
"81","165585","T3","cobras",3,"B",504,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Agree",6.22257626807137
"82","165585","T3","cobras",3,"B",504,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Agree",6.22257626807137
"83","165585","T3","ticks",3,"B",717,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Agree",6.57507584059962
"84","165585","T3","ticks",3,"B",717,1,"expert",1,1,"Zoologists don't know that",2,"none","cb","Agree",6.57507584059962
"85","165585","T4","monkeys",1,"B",2139,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",7.66809370908241
"86","165585","T4","monkeys",1,"B",2139,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",7.66809370908241
"87","165585","T4","tunas",1,"B",251,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",5.52545293913178
