"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","QuestType","WhichQuestion","WhichAnswer","verb","Matrix","ImageName","Group","Comments","study","order","goal"
"1",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1587043590253,"sdfsdf","NULL","","","","","","","","","qn","NA","none"
"2",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",0,0,"intro","NULL","TextInput","ID","First","",1587043591806,"sdfsdf","s","","","","","","","","","qn","NA","none"
"3",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",0,0,"intro","NULL","TextInput","ID","Final","sdfsdf",1587043594565,"sdfsdf","NULL","","","","","","","","","qn","NA","none"
"4",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1587043594566,"sdfsdf","NULL","","","","","","","","","qn","NA","none"
"5",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","Start",1587043594571,"NULL","","","","","","","","","","qn","NA","none"
"6",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",1,0,"instructions","NULL","PennController","1","_Trial_","End",1587043599268,"NULL","","","","","","","","","","qn","NA","none"
"7",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",2,0,"familiarize1","NULL","PennController","2","_Trial_","Start",1587043599276,"NULL","","","","","","","","","","qn","NA","none"
"8",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",2,0,"familiarize1","NULL","PennController","2","_Trial_","End",1587043603912,"NULL","","","","","","","","","","qn","NA","none"
"9",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",3,0,"familiarize2","NULL","PennController","3","_Trial_","Start",1587043603921,"NULL","","","","","","","","","","qn","NA","none"
"10",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",3,0,"familiarize2","NULL","PennController","3","_Trial_","End",1587043605599,"NULL","","","","","","","","","","qn","NA","none"
"11",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",4,0,"familiarize3","NULL","PennController","4","_Trial_","Start",1587043605604,"NULL","","","","","","","","","","qn","NA","none"
"12",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",4,0,"familiarize3","NULL","PennController","4","_Trial_","End",1587043607072,"NULL","","","","","","","","","","qn","NA","none"
"13",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",5,0,"familiarize4","NULL","PennController","5","_Trial_","Start",1587043607075,"NULL","","","","","","","","","","qn","NA","none"
"14",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",5,0,"familiarize4","NULL","PennController","5","_Trial_","End",1587043614317,"NULL","","","","","","","","","","qn","NA","none"
"15",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",6,0,"instructions1","NULL","PennController","6","_Trial_","Start",1587043614320,"NULL","","","","","","","","","","qn","NA","none"
"16",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",6,0,"instructions1","NULL","PennController","6","_Trial_","End",1587043627543,"NULL","","","","","","","","","","qn","NA","none"
"17",1587043820,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",7,0,"trainF","NULL","PennController","7","_Trial_","Start",1587043627545,"NULL","","","","","","","","","","qn","NA","none"
