"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","SentNumber","WhichCategory","Matrix","Subject","Predicate","SentType","Negation","CompTruth","SubStat","Token","MatchingCategory","MismatchingCategory","Group","Comments","study","order","goal"
"1",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1586973976631,"NULL","","","","","","","",NA,"","","","","","","","cb","2","none"
"2",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1586973978619,"NULL","","","","","","","",NA,"","","","","","","","cb","2","none"
"3",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",1,0,"consent","NULL","PennController","1","_Trial_","Start",1586973978621,"morgan","NULL","","","","","","",NA,"","","","","","","","cb","2","none"
"4",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",1,0,"consent","NULL","TextInput","ID","First","",1586973979916,"morgan","m","","","","","","",NA,"","","","","","","","cb","2","none"
"5",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",1,0,"consent","NULL","TextInput","ID","Final","morgan",1586973980933,"morgan","NULL","","","","","","",NA,"","","","","","","","cb","2","none"
"6",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",1,0,"consent","NULL","PennController","1","_Trial_","End",1586973980933,"morgan","NULL","","","","","","",NA,"","","","","","","","cb","2","none"
"7",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",2,0,"demo","NULL","PennController","2","_Trial_","Start",1586973980935,"englash","middle englash","NULL","","","","","",NA,"","","","","","","","cb","2","none"
"8",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",2,0,"demo","NULL","TextInput","NativeLang","First","",1586973982796,"englash","middle englash","n","","","","","",NA,"","","","","","","","cb","2","none"
"9",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",2,0,"demo","NULL","TextInput","NativeLang","Final","englash",1586973994105,"englash","middle englash","NULL","","","","","",NA,"","","","","","","","cb","2","none"
"10",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",2,0,"demo","NULL","PennController","2","_Trial_","End",1586973994107,"englash","middle englash","NULL","","","","","",NA,"","","","","","","","cb","2","none"
"11",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",3,0,"instructions","NULL","PennController","3","_Trial_","Start",1586973994112,"NULL","","","","","","","",NA,"","","","","","","","cb","2","none"
"12",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",3,0,"instructions","NULL","PennController","3","_Trial_","End",1586973997715,"NULL","","","","","","","",NA,"","","","","","","","cb","2","none"
"13",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","DashedSentence",4,0,"Train","NULL","Houses can be made of wood.","","","",NA,"","","","","","","","",NA,"","","","","","","","cb","2","none"
"14",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",4,1,"Train","NULL","PennController","6","_Trial_","Start",1586973999748,"morgan","train_T","Houses can be made of wood.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,"","","","","","","","cb","2","none"
"15",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",4,1,"Train","NULL","Text","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","Print",NA,1586973999751,"morgan","train_T","Houses can be made of wood.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,"","","","","","","","cb","2","none"
"16",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",4,1,"Train","NULL","Selector","unnamed-Selector","Selection","Agree",1586974023723,"morgan","train_T","Houses can be made of wood.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,"","","","","","","","cb","2","none"
"17",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",4,1,"Train","NULL","PennController","6","_Trial_","End",1586974023726,"morgan","train_T","Houses can be made of wood.","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","",NA,"","","","","","","","cb","2","none"
"18",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","DashedSentence",5,0,"Train","NULL","Airplanes fly under water.","","","",NA,"","","","","","","","",NA,"","","","","","","","cb","2","none"
"19",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",5,1,"Train","NULL","PennController","7","_Trial_","Start",1586974025054,"morgan","train_F","Airplanes fly under water.","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,"","","","","","","","cb","2","none"
"20",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",5,1,"Train","NULL","Text","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","Print",NA,1586974025058,"morgan","train_F","Airplanes fly under water.","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,"","","","","","","","cb","2","none"
"21",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",5,1,"Train","NULL","Selector","unnamed-Selector","Selection","Disagree",1586974026144,"morgan","train_F","Airplanes fly under water.","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,"","","","","","","","cb","2","none"
"22",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","PennController",5,1,"Train","NULL","PennController","7","_Trial_","End",1586974026146,"morgan","train_F","Airplanes fly under water.","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","",NA,"","","","","","","","cb","2","none"
"23",1586974121,"3e8f6eb3c615fdc94c6e3456c139539e","DashedSentence",6,0,"Train","NULL","Historians think that George Washington was a US president.","","","",NA,"","","","","","","","",NA,"","","","","","","","cb","2","none"
