"","Time.results.were.received","MD5.hash.of.participant.s.IP.address","Controller.name","Item.number","Element.number","Type","Group.Ibex","PennElementType","PennElementName","Parameter","Value","EventTime","ID","Study","SentNumber","Quantifier","Matrix","WhichCategory","Subject","Predicate","SentType","Verb","Embedded","Token","MatchingCategory","MismatchingCategory","Group","Comments","study","order","goal"
"1",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",0,0,"intro","NULL","PennController","0","_Trial_","Start",1589645871459,"NULL","","","","","","","","","",NA,"","","","","","bn","1","MS"
"2",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",0,0,"intro","NULL","PennController","0","_Trial_","End",1589645886728,"NULL","","","","","","","","","",NA,"","","","","","bn","1","MS"
"3",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",1,0,"consent","NULL","PennController","1","_Trial_","Start",1589645886730,"A26NGLGGFTATVN","NULL","","","","","","","","",NA,"","","","","","bn","1","MS"
"4",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",1,0,"consent","NULL","TextInput","ID","Final","A26NGLGGFTATVN",1589645892423,"A26NGLGGFTATVN","NULL","","","","","","","","",NA,"","","","","","bn","1","MS"
"5",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",1,0,"consent","NULL","PennController","1","_Trial_","End",1589645892423,"A26NGLGGFTATVN","NULL","","","","","","","","",NA,"","","","","","bn","1","MS"
"6",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,0,"demo","NULL","PennController","2","_Trial_","Start",1589645892424,"English","no","PC","NULL","","","","","","",NA,"","","","","","bn","1","MS"
"7",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,0,"demo","NULL","TextInput","NativeLang","Final","English",1589645901944,"English","no","PC","NULL","","","","","","",NA,"","","","","","bn","1","MS"
"8",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,0,"demo","NULL","TextInput","NativeLang","First","",1589645895711,"English","no","PC","Shift","","","","","","",NA,"","","","","","bn","1","MS"
"9",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,0,"demo","NULL","TextInput","Device","Final","PC",1589645901944,"English","no","PC","NULL","","","","","","",NA,"","","","","","bn","1","MS"
"10",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,0,"demo","NULL","TextInput","Device","First","",1589645899994,"English","no","PC","Shift","","","","","","",NA,"","","","","","bn","1","MS"
"11",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",2,0,"demo","NULL","PennController","2","_Trial_","End",1589645901944,"English","no","PC","NULL","","","","","","",NA,"","","","","","bn","1","MS"
"12",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",3,0,"instructions","NULL","PennController","3","_Trial_","Start",1589645901945,"NULL","","","","","","","","","",NA,"","","","","","bn","1","MS"
"13",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",3,0,"instructions","NULL","PennController","3","_Trial_","End",1589645910184,"NULL","","","","","","","","","",NA,"","","","","","bn","1","MS"
"14",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",4,0,"Train_simple","NULL","PennController","7","_Trial_","Start",1589645910184,"A26NGLGGFTATVN","train_T","The earth is a planet in the Milky Way","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
"15",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",4,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Agree",1589645914555,"A26NGLGGFTATVN","train_T","The earth is a planet in the Milky Way","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
"16",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",4,0,"Train_simple","NULL","PennController","7","_Trial_","End",1589645914556,"A26NGLGGFTATVN","train_T","The earth is a planet in the Milky Way","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
"17",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",5,0,"Train_simple","NULL","PennController","8","_Trial_","Start",1589645914558,"A26NGLGGFTATVN","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
"18",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",5,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Disagree",1589645918314,"A26NGLGGFTATVN","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
"19",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",5,0,"Train_simple","NULL","PennController","8","_Trial_","End",1589645918316,"A26NGLGGFTATVN","train_F","Russia is a continent","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
"20",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",6,0,"Train_simple","NULL","PennController","9","_Trial_","Start",1589645918320,"A26NGLGGFTATVN","train_think_T","Athletes think that soccer is a sport","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
"21",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",6,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Agree",1589645920813,"A26NGLGGFTATVN","train_think_T","Athletes think that soccer is a sport","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
"22",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",6,0,"Train_simple","NULL","PennController","9","_Trial_","End",1589645920815,"A26NGLGGFTATVN","train_think_T","Athletes think that soccer is a sport","Since this statement is <strong>correct</strong>%2C you should press <strong>F</strong> on the keyboard to agree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
"23",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",7,0,"Train_simple","NULL","PennController","10","_Trial_","Start",1589645920818,"A26NGLGGFTATVN","train_think_F","Librarians think that books are boring","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
"24",1589646074,"1b84d3b862707daaad20ec99da71e5a1","PennController",7,0,"Train_simple","NULL","Selector","unnamed-Selector","Selection","Disagree",1589645922434,"A26NGLGGFTATVN","train_think_F","Librarians think that books are boring","Since this statement is <strong>incorrect</strong>%2C you should press <strong>J</strong> on the keyboard to disagree.","NULL","","","","","",NA,"","","","","","bn","1","MS"
