,fish,reptiles,birds,mammals,insects,fruit
token1,anchovies,alligators,eagles,cats,wasps,strawberries
token2,carp,crocodiles,canaries,horses,cockroaches,bananas
token3,cod,chameleons,crows,dogs,cicadas,apples
token4,piranhas,iguanas,owls,pigs,ants,peaches
token5,mackerels,lizards,sparrows,elephants,flies,pears
token6,herrings,geckos,doves,sheep,mosquitos,plums
