,Token,MatchingCategory,MismatchingCategory,SentNumber,Quantifier,Matrix,WhichCategory,Subject,Predicate,Group,SentType,Verb,Embedded
79,chameleons,reptiles,mamals,8,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
80,chameleons,reptiles,mamals,9,some,Zoologists says that,Matching,Category,Token,,T2,say,1
81,chameleons,reptiles,mamals,10,all,,Matching,Token,Category,,T4,none,0
82,chameleons,reptiles,mamals,11,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
83,chameleons,reptiles,mamals,12,all,Zoologists says that,Matching,Token,Category,,T4,say,1
84,chameleons,reptiles,mamals,13,all,,Mismatching,Token,Category,,T6,none,0
85,chameleons,reptiles,mamals,14,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
86,chameleons,reptiles,mamals,15,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
87,chameleons,reptiles,mamals,16,all,,Matching,Category,Token,,T5,none,0
88,chameleons,reptiles,mamals,17,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
89,chameleons,reptiles,mamals,18,all,Zoologists says that,Matching,Category,Token,,T5,say,1
90,chameleons,reptiles,mamals,19,some,,Matching,Token,Category,,T1,none,0
91,chameleons,reptiles,mamals,20,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
92,chameleons,reptiles,mamals,21,some,Zoologists says that,Matching,Token,Category,,T1,say,1
93,chameleons,reptiles,mamals,22,some,,Mismatching,Token,Category,,T3,none,0
94,chameleons,reptiles,mamals,23,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
95,chameleons,reptiles,mamals,24,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
96,chameleons,reptiles,mamals,25,some,,Matching,Category,Token,,T2,none,0
97,chameleons,reptiles,mamals,26,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
98,chameleons,reptiles,mamals,27,some,Zoologists says that,Matching,Category,Token,,T2,say,1
99,chameleons,reptiles,mamals,28,all,,Matching,Token,Category,,T4,none,0
100,chameleons,reptiles,mamals,29,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
101,chameleons,reptiles,mamals,30,all,Zoologists says that,Matching,Token,Category,,T4,say,1
102,chameleons,reptiles,mamals,31,all,,Mismatching,Token,Category,,T6,none,0
103,chameleons,reptiles,mamals,32,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
104,chameleons,reptiles,mamals,33,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
105,chameleons,reptiles,mamals,34,all,,Matching,Category,Token,,T5,none,0
106,chameleons,reptiles,mamals,35,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
107,chameleons,reptiles,mamals,36,all,Zoologists says that,Matching,Category,Token,,T5,say,1
108,iguanas,reptiles,mamals,1,some,,Matching,Token,Category,,T1,none,0
109,iguanas,reptiles,mamals,2,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
110,iguanas,reptiles,mamals,3,some,Zoologists says that,Matching,Token,Category,,T1,say,1
111,iguanas,reptiles,mamals,4,some,,Mismatching,Token,Category,,T3,none,0
112,iguanas,reptiles,mamals,5,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
113,iguanas,reptiles,mamals,6,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
114,iguanas,reptiles,mamals,7,some,,Matching,Category,Token,,T2,none,0
115,iguanas,reptiles,mamals,8,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
